Education_Sector,School_Name,School_Type,Local_Government_Area
Government,Alberton Primary School,Primary,wellington
Government,Allansford and District Primary School,Primary,warrnambool
Government,Avoca Primary School,Primary,pyrenees
Government,Avenel Primary School,Primary,strathbogie
Government,Warrandyte Primary School,Primary,manningham
Government,Belmont Primary School,Primary,greater geelong
Government,Bacchus Marsh Primary School,Primary,moorabool
Government,Ballarat Primary School (Dana Street),Primary,ballarat
Government,Wodonga Primary School,Primary,wodonga
Government,Berwick Primary School,Primary,casey
Government,Beaufort Primary School,Primary,pyrenees
Government,Cheltenham Primary School,Primary,bayside
Government,Cudgee Primary School,Primary,moyne
Government,Newport Lakes Primary School,Primary,hobsons bay
Government,Cavendish Primary School,Primary,southern grampians
Government,Colac Primary School,Primary,colac-otway
Government,Castlemaine Primary School,Primary,mount alexander
Government,Campbells Creek Primary School,Primary,mount alexander
Government,Creswick Primary School,Primary,hepburn
Government,California Gully Primary School,Primary,greater bendigo
Government,St Andrews Primary School,Primary,nillumbik
Government,Warrnambool West Primary School,Primary,warrnambool
Government,Dromana Primary School,Primary,mornington peninsula
Government,Doncaster Primary School,Primary,manningham
Government,Echuca Primary School,Primary,campaspe
Government,Eltham Primary School,Primary,nillumbik
Government,Eaglehawk Primary School,Primary,greater bendigo
Government,Elphinstone Primary School,Primary,mount alexander
Government,Hallam Primary School,Primary,casey
Government,Flemington Primary School,Primary,moonee valley
Government,Footscray Primary School,Primary,maribyrnong
Government,Gisborne Primary School,Primary,macedon ranges
Government,Guildford Primary School,Primary,mount alexander
Government,Sandringham Primary School,Primary,bayside
Government,Wandiligong Primary School,Primary,alpine
Government,Grovedale Primary School,Primary,greater geelong
Government,Hawthorn West Primary School,Primary,boroondara
Government,Heidelberg Primary School,Primary,banyule
Government,Hamilton (Gray Street) Primary School,Primary,southern grampians
Government,Heathcote Primary School,Primary,greater bendigo
Government,Highton Primary School,Primary,greater geelong
Government,Huntly Primary School,Primary,greater bendigo
Government,Bellbrae Primary School,Primary,surf coast
