reference_period,Local_Government_Area,CSA_Offence_Division,CSA_Offence_Subdivision,Offence_Count,LGA_ERP,Victorian_ERP
2011,banyule,A Crimes against the person,A10 Homicide and related offences,5,122983,5537817
2011,banyule,A Crimes against the person,A20 Assault and related offences,554,122983,5537817
2011,banyule,A Crimes against the person,A30 Sexual offences,126,122983,5537817
2011,banyule,A Crimes against the person,A40 Abduction and related offences,9,122983,5537817
2011,banyule,A Crimes against the person,A50 Robbery,50,122983,5537817
2011,banyule,A Crimes against the person,A60 Blackmail and extortion,1,122983,5537817
2011,banyule,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",132,122983,5537817
2011,banyule,A Crimes against the person,A80 Dangerous and negligent acts endangering people,65,122983,5537817
2011,banyule,B Property and deception offences,B10 Arson,59,122983,5537817
2011,banyule,B Property and deception offences,B20 Property damage,984,122983,5537817
2011,banyule,B Property and deception offences,B30 Burglary/Break and enter,851,122983,5537817
2011,banyule,B Property and deception offences,B40 Theft,2125,122983,5537817
2011,banyule,B Property and deception offences,B50 Deception,273,122983,5537817
2011,banyule,C Drug offences,C10 Drug dealing and trafficking,35,122983,5537817
2011,banyule,C Drug offences,C20 Cultivate or manufacture drugs,25,122983,5537817
2011,banyule,C Drug offences,C30 Drug use and possession,198,122983,5537817
2011,banyule,D Public order and security offences,D10 Weapons and explosives offences,102,122983,5537817
2011,banyule,D Public order and security offences,D20 Disorderly and offensive conduct,150,122983,5537817
2011,banyule,D Public order and security offences,D30 Public nuisance offences,37,122983,5537817
2011,banyule,D Public order and security offences,D40 Public security offences,1,122983,5537817
2011,banyule,E Justice procedures offences,E10 Justice procedures,101,122983,5537817
2011,banyule,E Justice procedures offences,E20 Breaches of orders,839,122983,5537817
2011,banyule,F Other offences,F10 Regulatory driving offences,1,122983,5537817
2011,banyule,F Other offences,F20 Transport regulation offences,16,122983,5537817
2011,banyule,F Other offences,F30 Other government regulatory offences,7,122983,5537817
2011,banyule,F Other offences,F90 Miscellaneous offences,4,122983,5537817
2011,brimbank,A Crimes against the person,A10 Homicide and related offences,5,191496,5537817
2011,brimbank,A Crimes against the person,A20 Assault and related offences,1122,191496,5537817
2011,brimbank,A Crimes against the person,A30 Sexual offences,248,191496,5537817
2011,brimbank,A Crimes against the person,A40 Abduction and related offences,35,191496,5537817
2011,brimbank,A Crimes against the person,A50 Robbery,277,191496,5537817
2011,brimbank,A Crimes against the person,A60 Blackmail and extortion,7,191496,5537817
2011,brimbank,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",223,191496,5537817
2011,brimbank,A Crimes against the person,A80 Dangerous and negligent acts endangering people,106,191496,5537817
2011,brimbank,B Property and deception offences,B10 Arson,157,191496,5537817
2011,brimbank,B Property and deception offences,B20 Property damage,1596,191496,5537817
2011,brimbank,B Property and deception offences,B30 Burglary/Break and enter,2699,191496,5537817
2011,brimbank,B Property and deception offences,B40 Theft,6955,191496,5537817
2011,brimbank,B Property and deception offences,B50 Deception,747,191496,5537817
2011,brimbank,B Property and deception offences,B60 Bribery,3,191496,5537817
2011,brimbank,C Drug offences,C10 Drug dealing and trafficking,178,191496,5537817
2011,brimbank,C Drug offences,C20 Cultivate or manufacture drugs,73,191496,5537817
2011,brimbank,C Drug offences,C30 Drug use and possession,527,191496,5537817
2011,brimbank,D Public order and security offences,D10 Weapons and explosives offences,356,191496,5537817
2011,brimbank,D Public order and security offences,D20 Disorderly and offensive conduct,329,191496,5537817
2011,brimbank,D Public order and security offences,D30 Public nuisance offences,38,191496,5537817
2011,brimbank,E Justice procedures offences,E10 Justice procedures,174,191496,5537817
2011,brimbank,E Justice procedures offences,E20 Breaches of orders,950,191496,5537817
2011,brimbank,F Other offences,F20 Transport regulation offences,26,191496,5537817
2011,brimbank,F Other offences,F30 Other government regulatory offences,28,191496,5537817
2011,brimbank,F Other offences,F90 Miscellaneous offences,2,191496,5537817
2011,darebin,A Crimes against the person,A10 Homicide and related offences,6,142942,5537817
2011,darebin,A Crimes against the person,A20 Assault and related offences,692,142942,5537817
2011,darebin,A Crimes against the person,A30 Sexual offences,189,142942,5537817
2011,darebin,A Crimes against the person,A40 Abduction and related offences,20,142942,5537817
2011,darebin,A Crimes against the person,A50 Robbery,155,142942,5537817
2011,darebin,A Crimes against the person,A60 Blackmail and extortion,2,142942,5537817
2011,darebin,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",172,142942,5537817
2011,darebin,A Crimes against the person,A80 Dangerous and negligent acts endangering people,86,142942,5537817
2011,darebin,B Property and deception offences,B10 Arson,87,142942,5537817
2011,darebin,B Property and deception offences,B20 Property damage,1233,142942,5537817
2011,darebin,B Property and deception offences,B30 Burglary/Break and enter,1611,142942,5537817
2011,darebin,B Property and deception offences,B40 Theft,5000,142942,5537817
2011,darebin,B Property and deception offences,B50 Deception,747,142942,5537817
2011,darebin,B Property and deception offences,B60 Bribery,4,142942,5537817
2011,darebin,C Drug offences,C10 Drug dealing and trafficking,44,142942,5537817
2011,darebin,C Drug offences,C20 Cultivate or manufacture drugs,27,142942,5537817
2011,darebin,C Drug offences,C30 Drug use and possession,250,142942,5537817
2011,darebin,D Public order and security offences,D10 Weapons and explosives offences,143,142942,5537817
2011,darebin,D Public order and security offences,D20 Disorderly and offensive conduct,288,142942,5537817
2011,darebin,D Public order and security offences,D30 Public nuisance offences,59,142942,5537817
2011,darebin,D Public order and security offences,D40 Public security offences,1,142942,5537817
2011,darebin,E Justice procedures offences,E10 Justice procedures,113,142942,5537817
2011,darebin,E Justice procedures offences,E20 Breaches of orders,346,142942,5537817
2011,darebin,F Other offences,F20 Transport regulation offences,2,142942,5537817
2011,darebin,F Other offences,F30 Other government regulatory offences,23,142942,5537817
2011,darebin,F Other offences,F90 Miscellaneous offences,33,142942,5537817
2011,hobsons bay,A Crimes against the person,A20 Assault and related offences,399,87395,5537817
2011,hobsons bay,A Crimes against the person,A30 Sexual offences,129,87395,5537817
2011,hobsons bay,A Crimes against the person,A40 Abduction and related offences,9,87395,5537817
2011,hobsons bay,A Crimes against the person,A50 Robbery,73,87395,5537817
2011,hobsons bay,A Crimes against the person,A60 Blackmail and extortion,2,87395,5537817
2011,hobsons bay,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",130,87395,5537817
2011,hobsons bay,A Crimes against the person,A80 Dangerous and negligent acts endangering people,44,87395,5537817
2011,hobsons bay,B Property and deception offences,B10 Arson,37,87395,5537817
2011,hobsons bay,B Property and deception offences,B20 Property damage,712,87395,5537817
2011,hobsons bay,B Property and deception offences,B30 Burglary/Break and enter,732,87395,5537817
2011,hobsons bay,B Property and deception offences,B40 Theft,2257,87395,5537817
2011,hobsons bay,B Property and deception offences,B50 Deception,247,87395,5537817
2011,hobsons bay,C Drug offences,C10 Drug dealing and trafficking,54,87395,5537817
2011,hobsons bay,C Drug offences,C20 Cultivate or manufacture drugs,18,87395,5537817
2011,hobsons bay,C Drug offences,C30 Drug use and possession,172,87395,5537817
2011,hobsons bay,D Public order and security offences,D10 Weapons and explosives offences,96,87395,5537817
2011,hobsons bay,D Public order and security offences,D20 Disorderly and offensive conduct,227,87395,5537817
2011,hobsons bay,D Public order and security offences,D30 Public nuisance offences,78,87395,5537817
2011,hobsons bay,E Justice procedures offences,E10 Justice procedures,44,87395,5537817
2011,hobsons bay,E Justice procedures offences,E20 Breaches of orders,225,87395,5537817
2011,hobsons bay,F Other offences,F10 Regulatory driving offences,2,87395,5537817
2011,hobsons bay,F Other offences,F20 Transport regulation offences,16,87395,5537817
2011,hobsons bay,F Other offences,F30 Other government regulatory offences,12,87395,5537817
2011,hobsons bay,F Other offences,F90 Miscellaneous offences,8,87395,5537817
2011,hume,A Crimes against the person,A10 Homicide and related offences,2,174290,5537817
2011,hume,A Crimes against the person,A20 Assault and related offences,1279,174290,5537817
2011,hume,A Crimes against the person,A30 Sexual offences,270,174290,5537817
2011,hume,A Crimes against the person,A40 Abduction and related offences,36,174290,5537817
2011,hume,A Crimes against the person,A50 Robbery,133,174290,5537817
2011,hume,A Crimes against the person,A60 Blackmail and extortion,9,174290,5537817
2011,hume,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",401,174290,5537817
2011,hume,A Crimes against the person,A80 Dangerous and negligent acts endangering people,127,174290,5537817
2011,hume,B Property and deception offences,B10 Arson,163,174290,5537817
2011,hume,B Property and deception offences,B20 Property damage,1613,174290,5537817
2011,hume,B Property and deception offences,B30 Burglary/Break and enter,1438,174290,5537817
2011,hume,B Property and deception offences,B40 Theft,5229,174290,5537817
2011,hume,B Property and deception offences,B50 Deception,1036,174290,5537817
2011,hume,C Drug offences,C10 Drug dealing and trafficking,111,174290,5537817
2011,hume,C Drug offences,C20 Cultivate or manufacture drugs,53,174290,5537817
2011,hume,C Drug offences,C30 Drug use and possession,451,174290,5537817
2011,hume,D Public order and security offences,D10 Weapons and explosives offences,319,174290,5537817
2011,hume,D Public order and security offences,D20 Disorderly and offensive conduct,239,174290,5537817
2011,hume,D Public order and security offences,D30 Public nuisance offences,49,174290,5537817
2011,hume,D Public order and security offences,D40 Public security offences,31,174290,5537817
2011,hume,E Justice procedures offences,E10 Justice procedures,150,174290,5537817
2011,hume,E Justice procedures offences,E20 Breaches of orders,820,174290,5537817
2011,hume,F Other offences,F10 Regulatory driving offences,1,174290,5537817
2011,hume,F Other offences,F20 Transport regulation offences,33,174290,5537817
2011,hume,F Other offences,F30 Other government regulatory offences,9,174290,5537817
2011,hume,F Other offences,F90 Miscellaneous offences,6,174290,5537817
2011,maribyrnong,A Crimes against the person,A10 Homicide and related offences,2,75154,5537817
2011,maribyrnong,A Crimes against the person,A20 Assault and related offences,479,75154,5537817
2011,maribyrnong,A Crimes against the person,A30 Sexual offences,182,75154,5537817
2011,maribyrnong,A Crimes against the person,A40 Abduction and related offences,6,75154,5537817
2011,maribyrnong,A Crimes against the person,A50 Robbery,164,75154,5537817
2011,maribyrnong,A Crimes against the person,A60 Blackmail and extortion,5,75154,5537817
2011,maribyrnong,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",52,75154,5537817
2011,maribyrnong,A Crimes against the person,A80 Dangerous and negligent acts endangering people,37,75154,5537817
2011,maribyrnong,B Property and deception offences,B10 Arson,65,75154,5537817
2011,maribyrnong,B Property and deception offences,B20 Property damage,845,75154,5537817
2011,maribyrnong,B Property and deception offences,B30 Burglary/Break and enter,1119,75154,5537817
2011,maribyrnong,B Property and deception offences,B40 Theft,3868,75154,5537817
2011,maribyrnong,B Property and deception offences,B50 Deception,438,75154,5537817
2011,maribyrnong,B Property and deception offences,B60 Bribery,1,75154,5537817
2011,maribyrnong,C Drug offences,C10 Drug dealing and trafficking,191,75154,5537817
2011,maribyrnong,C Drug offences,C20 Cultivate or manufacture drugs,16,75154,5537817
2011,maribyrnong,C Drug offences,C30 Drug use and possession,466,75154,5537817
2011,maribyrnong,C Drug offences,C90 Other drug offences,2,75154,5537817
2011,maribyrnong,D Public order and security offences,D10 Weapons and explosives offences,163,75154,5537817
2011,maribyrnong,D Public order and security offences,D20 Disorderly and offensive conduct,313,75154,5537817
2011,maribyrnong,D Public order and security offences,D30 Public nuisance offences,39,75154,5537817
2011,maribyrnong,D Public order and security offences,D40 Public security offences,3,75154,5537817
2011,maribyrnong,E Justice procedures offences,E10 Justice procedures,61,75154,5537817
2011,maribyrnong,E Justice procedures offences,E20 Breaches of orders,86,75154,5537817
2011,maribyrnong,F Other offences,F10 Regulatory driving offences,1,75154,5537817
2011,maribyrnong,F Other offences,F20 Transport regulation offences,9,75154,5537817
2011,maribyrnong,F Other offences,F30 Other government regulatory offences,8,75154,5537817
2011,maribyrnong,F Other offences,F90 Miscellaneous offences,2,75154,5537817
2011,melbourne,A Crimes against the person,A10 Homicide and related offences,5,100240,5537817
2011,melbourne,A Crimes against the person,A20 Assault and related offences,2232,100240,5537817
2011,melbourne,A Crimes against the person,A30 Sexual offences,300,100240,5537817
2011,melbourne,A Crimes against the person,A40 Abduction and related offences,27,100240,5537817
2011,melbourne,A Crimes against the person,A50 Robbery,360,100240,5537817
2011,melbourne,A Crimes against the person,A60 Blackmail and extortion,8,100240,5537817
2011,melbourne,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",348,100240,5537817
2011,melbourne,A Crimes against the person,A80 Dangerous and negligent acts endangering people,132,100240,5537817
2011,melbourne,B Property and deception offences,B10 Arson,81,100240,5537817
2011,melbourne,B Property and deception offences,B20 Property damage,1715,100240,5537817
2011,melbourne,B Property and deception offences,B30 Burglary/Break and enter,1500,100240,5537817
2011,melbourne,B Property and deception offences,B40 Theft,10281,100240,5537817
2011,melbourne,B Property and deception offences,B50 Deception,3268,100240,5537817
2011,melbourne,B Property and deception offences,B60 Bribery,3,100240,5537817
2011,melbourne,C Drug offences,C10 Drug dealing and trafficking,320,100240,5537817
2011,melbourne,C Drug offences,C20 Cultivate or manufacture drugs,19,100240,5537817
2011,melbourne,C Drug offences,C30 Drug use and possession,1236,100240,5537817
2011,melbourne,C Drug offences,C90 Other drug offences,1,100240,5537817
2011,melbourne,D Public order and security offences,D10 Weapons and explosives offences,538,100240,5537817
2011,melbourne,D Public order and security offences,D20 Disorderly and offensive conduct,4933,100240,5537817
2011,melbourne,D Public order and security offences,D30 Public nuisance offences,267,100240,5537817
2011,melbourne,D Public order and security offences,D40 Public security offences,17,100240,5537817
2011,melbourne,E Justice procedures offences,E10 Justice procedures,531,100240,5537817
2011,melbourne,E Justice procedures offences,E20 Breaches of orders,1610,100240,5537817
2011,melbourne,F Other offences,F20 Transport regulation offences,31,100240,5537817
2011,melbourne,F Other offences,F30 Other government regulatory offences,105,100240,5537817
2011,melbourne,F Other offences,F90 Miscellaneous offences,20,100240,5537817
2011,melton,A Crimes against the person,A10 Homicide and related offences,2,112643,5537817
2011,melton,A Crimes against the person,A20 Assault and related offences,800,112643,5537817
2011,melton,A Crimes against the person,A30 Sexual offences,110,112643,5537817
2011,melton,A Crimes against the person,A40 Abduction and related offences,16,112643,5537817
2011,melton,A Crimes against the person,A50 Robbery,83,112643,5537817
2011,melton,A Crimes against the person,A60 Blackmail and extortion,3,112643,5537817
2011,melton,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",131,112643,5537817
2011,melton,A Crimes against the person,A80 Dangerous and negligent acts endangering people,99,112643,5537817
2011,melton,B Property and deception offences,B10 Arson,96,112643,5537817
2011,melton,B Property and deception offences,B20 Property damage,938,112643,5537817
2011,melton,B Property and deception offences,B30 Burglary/Break and enter,1196,112643,5537817
2011,melton,B Property and deception offences,B40 Theft,2881,112643,5537817
2011,melton,B Property and deception offences,B50 Deception,290,112643,5537817
2011,melton,C Drug offences,C10 Drug dealing and trafficking,69,112643,5537817
2011,melton,C Drug offences,C20 Cultivate or manufacture drugs,33,112643,5537817
2011,melton,C Drug offences,C30 Drug use and possession,228,112643,5537817
2011,melton,D Public order and security offences,D10 Weapons and explosives offences,157,112643,5537817
2011,melton,D Public order and security offences,D20 Disorderly and offensive conduct,184,112643,5537817
2011,melton,D Public order and security offences,D30 Public nuisance offences,15,112643,5537817
2011,melton,E Justice procedures offences,E10 Justice procedures,98,112643,5537817
2011,melton,E Justice procedures offences,E20 Breaches of orders,221,112643,5537817
2011,melton,F Other offences,F20 Transport regulation offences,9,112643,5537817
2011,melton,F Other offences,F30 Other government regulatory offences,3,112643,5537817
2011,melton,F Other offences,F90 Miscellaneous offences,3,112643,5537817
2011,moonee valley,A Crimes against the person,A20 Assault and related offences,528,112180,5537817
2011,moonee valley,A Crimes against the person,A30 Sexual offences,105,112180,5537817
2011,moonee valley,A Crimes against the person,A40 Abduction and related offences,3,112180,5537817
2011,moonee valley,A Crimes against the person,A50 Robbery,95,112180,5537817
2011,moonee valley,A Crimes against the person,A60 Blackmail and extortion,2,112180,5537817
2011,moonee valley,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",142,112180,5537817
2011,moonee valley,A Crimes against the person,A80 Dangerous and negligent acts endangering people,45,112180,5537817
2011,moonee valley,B Property and deception offences,B10 Arson,21,112180,5537817
2011,moonee valley,B Property and deception offences,B20 Property damage,929,112180,5537817
2011,moonee valley,B Property and deception offences,B30 Burglary/Break and enter,870,112180,5537817
2011,moonee valley,B Property and deception offences,B40 Theft,2819,112180,5537817
2011,moonee valley,B Property and deception offences,B50 Deception,460,112180,5537817
2011,moonee valley,B Property and deception offences,B60 Bribery,1,112180,5537817
2011,moonee valley,C Drug offences,C10 Drug dealing and trafficking,83,112180,5537817
2011,moonee valley,C Drug offences,C20 Cultivate or manufacture drugs,32,112180,5537817
2011,moonee valley,C Drug offences,C30 Drug use and possession,222,112180,5537817
2011,moonee valley,D Public order and security offences,D10 Weapons and explosives offences,162,112180,5537817
2011,moonee valley,D Public order and security offences,D20 Disorderly and offensive conduct,357,112180,5537817
2011,moonee valley,D Public order and security offences,D30 Public nuisance offences,63,112180,5537817
2011,moonee valley,D Public order and security offences,D40 Public security offences,1,112180,5537817
2011,moonee valley,E Justice procedures offences,E10 Justice procedures,52,112180,5537817
2011,moonee valley,E Justice procedures offences,E20 Breaches of orders,160,112180,5537817
2011,moonee valley,F Other offences,F20 Transport regulation offences,8,112180,5537817
2011,moonee valley,F Other offences,F30 Other government regulatory offences,8,112180,5537817
2011,moonee valley,F Other offences,F90 Miscellaneous offences,7,112180,5537817
2011,moreland,A Crimes against the person,A10 Homicide and related offences,7,154247,5537817
2011,moreland,A Crimes against the person,A20 Assault and related offences,703,154247,5537817
2011,moreland,A Crimes against the person,A30 Sexual offences,178,154247,5537817
2011,moreland,A Crimes against the person,A40 Abduction and related offences,21,154247,5537817
2011,moreland,A Crimes against the person,A50 Robbery,165,154247,5537817
2011,moreland,A Crimes against the person,A60 Blackmail and extortion,4,154247,5537817
2011,moreland,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",149,154247,5537817
2011,moreland,A Crimes against the person,A80 Dangerous and negligent acts endangering people,57,154247,5537817
